reason, reason$, -0.173990782734
play, play$, -0.157446748619
way, way$, -0.13705578113
status, status$, -0.127595097871
job, job$, -0.118315284631
thing, thing$, -0.114263663148
road, road$, -0.109294646652
moment, moment$, -0.0936754324958
rest, rest$, -0.073431973279
day, day$, -0.0630053594661
week, week$, -0.0616550663594
friend, friend$, -0.0551967178935
people, people$, -0.0432183670737
money, money$, -0.04272831388
review, review$, -0.0380622772049
woman, woman$, -0.0339852520742
gift, gift$, -0.0299086428012
college, college$, -0.0228715936203
wrong, wrong$, -0.0208046401277
share, share$, -0.0205025272329
month, month$, -0.0144419100613
degree, degree$, -0.012026326994
performance, performance$, -0.0118723488846
guy, guy$, -0.00190358516945
parliament, parliament$, 0.000889329617703
seat, seat$, 0.00744869353901
interview, interview$, 0.010248308843
cool, cool$, 0.0146573103709
uncle, uncle$, 0.0146687397111
press, press$, 0.0152934630388
development, development$, 0.0157439228179
class, class$, 0.0174127017522
luck, luck$, 0.0192473999229
service, service$, 0.0211136974807
well, well$, 0.0271762470112
matter, matter$, 0.0320524394194
school, school$, 0.0346900138588
film, film$, 0.0347270294504
politics, politics$, 0.035251710547
room, room$, 0.0363144213085
traffic, traffic$, 0.0369222470296
question, question$, 0.0392688599658
university, university$, 0.0393358381913
group, group$, 0.0394148908599
car, car$, 0.0410416137402
house, house$, 0.0438943772044
scene, scene$, 0.0447437095708
request, request$, 0.0519343813632
boy, boy$, 0.0542652861287
body, body$, 0.0711222108863
star, star$, 0.0947073591006
president, president$, 0.122297961424
blue, blue$, 0.127730731989
god, god$, 0.242190478744
